top_left_square,top_middle_square,top_right_square,middle_left_square,middle_middle_square,middle_right_square,bottom_left_square,bottom_middle_square,bottom_right_square,class,Id
b,x,o,b,o,b,o,x,x,1,906
b,x,o,b,b,o,x,x,o,1,907
b,x,b,x,x,b,o,o,o,1,908
b,x,b,o,o,o,x,x,b,1,910
b,x,b,b,x,x,o,o,o,1,913
b,o,x,x,o,x,b,o,b,1,915
b,o,x,x,o,o,x,o,x,1,916
b,o,x,x,o,b,x,o,b,1,917
b,o,x,x,o,b,b,o,x,1,918
b,o,x,b,o,x,x,o,b,1,919
b,o,o,x,o,x,x,o,x,1,922
b,o,b,x,o,x,x,o,b,1,924
b,o,b,x,o,x,b,o,x,1,925
b,o,b,b,o,x,x,o,x,1,927
b,b,x,x,x,b,o,o,o,1,928
b,b,x,o,o,o,x,x,b,1,930
b,b,x,b,x,x,o,o,o,1,933
b,b,o,x,x,o,b,x,o,1,935
b,b,o,x,o,x,o,x,b,1,936
b,b,o,x,o,x,o,b,x,1,937
b,b,o,x,b,o,x,x,o,1,939
b,b,o,b,x,o,x,x,o,1,940
b,b,o,b,o,x,o,x,x,1,941
x,x,o,o,x,x,x,o,o,1,942
x,x,o,o,o,x,x,x,o,1,943
x,o,x,x,x,o,o,x,o,1,945
x,o,x,o,x,x,o,x,o,1,948
x,o,x,o,o,x,x,x,o,1,949
x,o,o,o,x,x,x,x,o,1,950
o,x,x,x,o,o,o,x,x,1,953
o,x,o,x,x,o,x,o,x,1,954
o,x,o,x,o,x,x,o,x,1,955
o,x,o,o,x,x,x,o,x,1,956
